Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,mood
69858,4x9MGkYcSnZknU4hQkouqo,Saleem,Jai Mata Di,Boliyan,18,255413,False,0.687,0.889,11,-7.701,1,0.0542,0.421,9.68e-05,0.111,0.972,169.947,4,malay,Happy
95549,3jOg4o1Ctc2jod1g3gQAwj,Galy Galiano,Solo Salsa,Te Olvidaste de Mi,30,274024,False,0.64,0.94,9,-5.45,1,0.0443,0.643,0.00138,0.339,0.947,172.361,4,salsa,Happy
41691,4819YHt0LTT9MMGHiHFtaU,Jonas Lundqvist,Vissa nätter,Vissa nätter,22,264893,False,0.537,0.877,6,-4.93,0,0.0441,0.0246,1.17e-06,0.122,0.728,138.97,4,goth,Happy
89762,5cepAtqnEQ6yVG6088zMMu,Maluma;Nego do Borel,F.A.M.E.,Corazón (feat. Nego do Borel),69,184720,False,0.722,0.738,9,-6.073,0,0.247,0.328,1.47e-05,0.198,0.748,198.075,4,reggaeton,Happy
8536,05NYcsjJwOYq4jIiKPVj9p,The Black Crowes,Shake Your Money Maker,Hard To Handle,72,188066,False,0.599,0.79,4,-3.58,1,0.043,0.00257,0.00181,0.312,0.961,103.783,4,blues,Happy
73826,65yTIStAjXN1YmUAleXv57,Joel Fletcher;Ivan Ooze,Flutech (feat. Ivan Ooze),Flutech (feat. Ivan Ooze),40,164769,False,0.856,0.854,5,-5.351,1,0.0815,0.13,0.0178,0.105,0.842,129.995,4,minimal-techno,Happy
28997,3utAahP25e0wCno9tQih2O,Sonic Boom Six,The Ruff Guide To Genre-Terrorism,Bigger Than Punk Rock,26,209720,True,0.579,0.913,0,-4.215,0,0.108,0.0189,0.0,0.335,0.931,137.336,4,dub,Happy
111333,49sGyqfSqURWHIKDbkTfdQ,Emilíana Torrini,Me and Armini,Jungle Drum,57,133466,False,0.637,0.89,4,-5.291,0,0.0747,0.131,0.0055,0.0735,0.858,118.315,4,trip-hop,Happy
67820,1ABzvnkHLpLaIN7VlB00LJ,Kinky,Kinky (Remastered),Soun Tha Mi Primer Amor - Remastered,54,191000,False,0.83,0.838,6,-6.77,1,0.0776,0.0805,0.517,0.073,0.829,104.418,4,latin,Happy
82268,2RUymZBJ1PUDPIB7KkW3F2,Giuda,Lets Do It Again,Wild Tiger Woman,26,213446,False,0.531,0.829,5,-3.642,0,0.124,0.03,0.000531,0.0774,0.847,165.841,4,power-pop,Happy
11022,7staPerb0ZxnCz5MXHDYC3,YUNGBLUD,Halloween Party 2022,The Funeral,0,211197,True,0.576,0.869,7,-4.339,1,0.0339,8.57e-05,7.1e-05,0.0573,0.746,92.538,4,british,Happy
89338,3w11Zj7MbTxQagWtk3W6oz,Sebastian Yatra;Guaynaa,Halloween 2022 Perreo Vol. 1,Chica Ideal,1,183240,False,0.574,0.891,0,-3.665,0,0.157,0.0847,0.0,0.16,0.707,100.978,4,reggaeton,Happy
91210,08mG3Y1vljYA6bvDt4Wqkj,AC/DC,Back In Black,Back In Black,85,255493,False,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,4,rock,Happy
35886,3FoH9QfvRwUfXMwTxFXK7j,Flávio José,Turnê 2013 Ao Vivo,A Natureza das Coisas - Live,37,243813,False,0.518,0.863,2,-4.747,1,0.0461,0.526,0.0,0.106,0.822,175.01,4,forro,Happy
33477,2AmRjWxvLxJK3DjCYNruLI,RADWIMPS;Toko Miura,Weathering With You,Celebration (Movie Edit) [feat. Toko Miura],48,156160,False,0.511,0.923,9,-2.554,1,0.0867,0.142,0.0,0.172,0.765,152.034,4,emo,Happy
20769,2ccbaU2kyfRbCIBYSt85Zm,Jason Derulo;Kodak Black,Back to School!,Slidin',0,156300,True,0.695,0.884,11,-1.953,0,0.172,0.106,0.0,0.134,0.803,100.088,4,dance,Happy
8844,5psQCuhv7XR4RcL9ppHMxq,Bernard Adamus,Brun,Le fou de l'île,34,240000,False,0.691,0.843,2,-3.679,1,0.135,0.364,0.0,0.0729,0.812,90.0,4,blues,Happy
28893,5WmllTDEWHESIBFuSVxeNn,The Skints,"Live, Breathe, Build, Believe",Culture Vulture,26,223373,False,0.51,0.7,8,-7.041,0,0.0356,0.00331,0.00598,0.0591,0.705,75.46,4,dub,Happy
97529,54pqWohuwelL4bDqYpOwZG,Humberto & Ronaldo,"Ao Vivo em Goiânia, Vol. 03","Quer Amor, Toma - Ao Vivo",46,162925,False,0.624,0.879,2,-4.98,1,0.1,0.382,0.0,0.347,0.761,132.007,4,sertanejo,Happy
60008,5vc9YsAEBWbRVvgKUcA5vs,Charly Black;Luis Fonsi,Party Animal,Party Animal,62,195813,False,0.724,0.869,0,-3.922,1,0.046,0.0248,0.0,0.251,0.84,100.999,4,j-dance,Happy
83084,6clzeGvi1CFioMOolbAOlX,Calvin Harris;Justin Timberlake;Halsey;Pharrell Williams,Funk Wav Bounces Vol. 2,"Stay With Me (with Justin Timberlake, Halsey & Pharrell)",73,229282,False,0.81,0.733,9,-6.338,1,0.0444,0.276,6.73e-06,0.288,0.9,125.975,4,progressive-house,Happy
37286,27p5NVI8VIEnQvtr3DUCiY,Kool & The Gang,Artsy & Colourful,Celebration,0,298640,False,0.857,0.782,1,-5.633,1,0.0657,0.139,0.0357,0.0495,0.899,120.763,4,funk,Happy
73991,6j2HQ1kkjgx7y7bEOq4Kgw,Kenny Larkin,Integration,Integration,17,286126,False,0.713,0.745,7,-8.683,1,0.0385,0.000159,0.873,0.155,0.854,124.984,4,minimal-techno,Happy
95561,3Sf2p7YK4rOI6DwkBgNFOr,Orquesta Internacional Los Niches,Éxitos,Si Supieras,30,284708,False,0.647,0.744,0,-9.767,0,0.0415,0.595,0.0658,0.109,0.962,90.22,4,salsa,Happy
107171,1bNYIF1HZlWJe8ZKmTIFfT,Modern Talking,Back For Good,"You're My Heart, You're My Soul '98",60,230266,False,0.752,0.938,1,-4.08,0,0.0381,0.00455,0.00472,0.0855,0.967,119.322,4,synth-pop,Happy
2217,6IKtfO76zpYpYnfOb8Ley8,Fitz and The Tantrums,Tek It - New Noise,Sway,0,136940,False,0.705,0.927,1,-2.701,1,0.0776,0.0327,0.0,0.0705,0.945,159.978,4,alt-rock,Happy
1368,6p7KEJStN2J1EpsT3hZVqH,Mandrill,Composite Truth,Hang Loose,22,288933,False,0.54,0.797,7,-10.777,0,0.0617,0.434,0.165,0.12,0.935,128.291,4,afrobeat,Happy
8955,3d6G2zpUqqDCduvhKl0oK6,Adam Jensen,I'm a Sucker for a Liar in a Red Dress,I'm a Sucker for a Liar in a Red Dress,53,223811,False,0.689,0.728,0,-4.276,1,0.0501,0.412,1.19e-06,0.162,0.718,150.023,4,blues,Happy
27944,7FktEJFfh1UUxP1p9yJbfu,Chase & Status;Giggs,"Chase & Status Present ""London Bars""",More Ratatatin - London Bars Vol. II,15,199778,True,0.89,0.829,11,-4.521,0,0.252,0.00257,0.00286,0.943,0.827,140.011,4,drum-and-bass,Happy
43602,6lvXCTiPKfgrvUjxKjd7Ds,Sonny Fodera;Sinéad Harnett,Rise,Into You,56,214838,False,0.675,0.713,11,-6.871,1,0.0346,0.0965,0.43,0.0853,0.929,123.999,4,groove,Happy
69839,1Jok5LANx1B2sYWOAbfLwd,Sujatha,Christian Devotional - Sujatha Hits,Ennodulla Ninte Daya,20,331693,False,0.586,0.838,5,-1.247,1,0.146,0.118,0.0,0.111,0.759,200.192,4,malay,Happy
61632,0OKaPDf7ljRTHyEWfIEICn,Perfume,"Perfume The Best ""P Cubed""",リニアモーターガール,21,246013,False,0.518,0.983,1,-2.018,1,0.059,0.00458,0.000345,0.353,0.811,145.063,4,j-idol,Happy
100723,2lGZ3IB6Vnbr4Lv2MAjRv2,Los Auténticos Decadentes,Foro Sol - 17 Nov 2017 (En Vivo),Cómo Me Voy a Olvidar - En Vivo en el Foro Sol,35,200764,False,0.426,0.916,7,-4.9,0,0.113,0.435,0.0,0.521,0.853,142.799,4,ska,Happy
14484,0IqIjOd4WP1VcqIwaz2TIG,The Wiggles,It's Time to Wake up Jeff!,Romp Bomp a Stomp,32,85560,False,0.687,0.91,9,-2.944,1,0.0478,0.219,0.0,0.0778,0.98,153.223,4,children,Happy
46049,4iTHIdiHeV4pQzZ9ovdNHS,Lawineboys,Remmen Los,Alle Remmen Los,32,183000,False,0.624,0.982,11,-5.001,0,0.044,0.132,0.000538,0.344,0.856,141.925,4,happy,Happy
80249,6alUOXeJ3T6vi8dkN8QSbi,Rahat Fateh Ali Khan;Suzanne D'Mello,Tera Mera Saath Ho,"Rishte Naate - From ""De Dana Dan""",66,286586,False,0.637,0.825,11,-6.612,1,0.0815,0.352,0.0,0.389,0.835,92.029,4,pop-film,Happy
68349,1DGt4mkDsqguGSLYFerzKO,Brray;Chencho Corleone,Noche de Halloween Latino,El Querendón,1,168466,True,0.803,0.866,3,-4.503,0,0.0627,0.122,0.0153,0.193,0.772,95.008,4,latino,Happy
33580,0Q9vbV7G2Q6lts13nY9YGP,Fall Out Boy,MANIA,HOLD ME TIGHT OR DON’T,58,210360,False,0.582,0.925,6,-4.366,0,0.0523,0.00699,2.9e-06,0.108,0.788,95.987,4,emo,Happy
29585,33LQdszht4rDfgmOSth8W0,ILLENIUM;Tom DeLonge;Angels & Airwaves,Fallen Embers,Paper Thin,50,197062,False,0.557,0.781,1,-3.841,1,0.0925,0.00384,0.0,0.143,0.779,155.924,4,dubstep,Happy
53074,5knuzwU65gJK7IF5yJsuaW,Clean Bandit;Sean Paul;Anne-Marie,Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie),75,251088,False,0.72,0.763,9,-4.068,0,0.0523,0.406,0.0,0.18,0.742,101.965,4,house,Happy
63222,3IWztt3qxGNnfwjZFe58rB,Creep Hyp,死ぬまで一生愛されてると思ってたよ,火まつり,38,132799,False,0.527,0.777,8,-4.971,1,0.0394,0.181,0.0,0.113,0.923,133.912,4,j-rock,Happy
68931,30fs492ovSWQYydT1Ap2bM,Yaga & Mackie,Los Mackieavelikos 2055,No Seas Bobo,40,218706,False,0.718,0.909,6,-5.847,0,0.141,0.0266,0.0195,0.162,0.738,180.023,4,latino,Happy
82315,4qfj7D3fL7Q8x2vnCpfMrN,Shannon & The Clams,Dreams in the Rat House,Into a Dream,25,176346,False,0.308,0.771,11,-6.873,1,0.039,0.0679,0.00182,0.118,0.772,140.334,4,power-pop,Happy
29946,3lr5FTmdVu48cEpVLRQDbD,Jantsen,Gutter Til I Die,Nasty,23,212571,True,0.622,0.993,1,-0.007,1,0.3,0.0022,0.0247,0.0688,0.724,139.898,4,dubstep,Happy
95998,4LSLKExbKNdmMSmHz4KLRB,Héctor Lavoe;Willie Colón;Yomo Toro,Asalto Navideño: Vol. 1 & 2,Vive Tu Vida Contento,27,163080,False,0.76,0.838,9,-7.012,1,0.073,0.745,0.0,0.108,0.979,111.126,4,salsa,Happy
30396,2chqxbeA3IiRlhe9firf8a,Jonas Blue;JP Cooper,Autumn Vibes 2022,Perfect Strangers,0,196613,False,0.735,0.863,1,-4.079,1,0.0458,0.393,0.0,0.271,0.728,118.029,4,edm,Happy
35891,3l6t8KZMjwoqJQe20YOgQj,Forró Boys,"Vale a Pena, Vol. 5",Tampão do Carro,37,186600,False,0.542,0.865,6,-2.654,1,0.0495,0.0394,0.0,0.206,0.917,183.895,4,forro,Happy
107671,4BD77E4Zxw5zIm7uL842zd,Modern Talking,Year Of The Dragon,No Face No Name No Number,40,238373,False,0.732,0.958,0,-4.622,1,0.0697,0.193,0.00306,0.101,0.809,118.045,4,synth-pop,Happy
85504,3bZ71uzfkL02az18Gi1ZdF,Kamikazee,Maharot,Seksi! Seksi!,38,250733,False,0.614,0.906,2,-5.073,1,0.0998,0.00691,0.0,0.0768,0.746,125.196,4,punk-rock,Happy
78259,6twzdopAKUq3zXNblpv3Fl,Ikke Hüftgold,Ballerpunk,Bongiorno,35,193166,True,0.678,0.973,3,-3.65,1,0.0552,0.102,0.0,0.359,0.937,140.042,4,party,Happy
110977,0teJO13Uua0AamcZ681qOd,Tiësto;Jonas Blue;Rita Ora,The London Sessions,Ritual,45,198995,False,0.647,0.726,3,-4.389,0,0.0552,0.157,0.0,0.0844,0.769,114.998,4,trance,Happy
57317,7w87IxuO7BDcJ3YUqCyMTT,Foster The People,Torches,Pumped Up Kicks,84,239600,False,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,4,indie,Happy
63958,1wzXn6KAVDEHY0TemkqWBX,GReeeeN,キセキ,ルーキーズ,32,235066,False,0.469,0.9,7,-5.1,1,0.0394,3.57e-05,0.000475,0.11,0.741,169.995,4,j-rock,Happy
92968,49h88o4NI0i0WTkU2HN1JS,João Gordo,Brutal Brega,Eu Vou Rifar Meu Coração,22,141106,False,0.648,0.883,4,-7.021,1,0.037,0.00479,6.09e-06,0.396,0.949,130.027,4,rockabilly,Happy
106290,3jkMUudtktfS8uEXZWpdll,Albatraoz;Örnen;Mozby,Fylla på fjället,Fylla på fjället,42,120857,False,0.726,0.742,8,-6.154,1,0.234,0.349,0.0,0.404,0.796,140.048,4,swedish,Happy
37310,4t4vkPr7LWZXxrkofl8fvg,Rudimental;MORGAN;Digga D;TIKE,2Step - Pop R'n'B,Be the One,0,185530,False,0.846,0.726,1,-3.376,1,0.0635,0.094,2e-06,0.0304,0.79,131.974,4,funk,Happy
61109,6tr3iX2T0yVGXSR1bxbiWp,Nogizaka46,透明な色,傾斜する,27,277906,False,0.641,0.88,6,-4.397,1,0.0622,0.0986,0.0,0.104,0.795,128.001,4,j-idol,Happy
103963,26Sw3iKfNsX2i0OnKqKXNi,GASHI;DJ Snake,GASHI,Safety (feat. DJ Snake),51,177780,False,0.754,0.828,1,-4.443,1,0.0355,0.0276,0.0266,0.0799,0.728,108.992,4,soul,Happy
